Project,Workbook,Workbook Publisher,Is Extract?,Type,Connection
NEO – Field (test),Field_Metrics_LLD,Sayantan Sen,No,Redshift,CSA A14H - Inc - Wor
NEO – Field (test),Field_Metrics_LLD,Sayantan Sen,No,Redshift,CSA A21b - MTM 3.0 Met Miss Summary
NEO – Field (test),Field_Metrics_LLD,Sayantan Sen,No,Redshift,CSA A27 - Appointments Only
NEO – Field (test),Field_Metrics_LLD,Sayantan Sen,Yes,Netezza,WBA Appointment Performance Reporting (Conformed View) Extract
NEO – Field (test),Field_Metrics_MTTR,Gav Pereira,No,Redshift,CSA A12H - Inc - Apt - Wor - Wrq - Loc- Pri
NEO – Field (test),Field_Metrics_WBA_Test,Raj C R,No,Redshift,CSA A12H - Inc - Apt - Wor - Wrq - Loc- Pri
NEO – Field (test),Field_Metrics_WBA_Test,Raj C R,No,Redshift,CSA A14H - Inc - Wor
NEO – Field (test),Field_Metrics_WBA_Test,Raj C R,No,Redshift,CSA A21b - MTM 3.0 Met Miss Summary
NEO – Field (test),Field_Metrics_WBA_Test,Raj C R,No,Redshift,CSA A27 - Appointments Only
NEO – Field (test),Field_Metrics_WBA_Test,Raj C R,Yes,Netezza,WBA Appointment Performance Enhanced
NEO – Field (test),Field_Metrics_WBA_Test_JobsCompleteIncomplete,Raj C R,No,Redshift,CSA A12H - Inc - Apt - Wor - Wrq - Loc- Pri
NEO – Field (test),Field_Metrics_WBA_Test_JobsCompleteIncomplete,Raj C R,No,Redshift,CSA A14H - Inc - Wor
NEO – Field (test),Field_Metrics_WBA_Test_JobsCompleteIncomplete,Raj C R,No,Redshift,CSA A21b - MTM 3.0 Met Miss Summary
NEO – Field (test),Field_Metrics_WBA_Test_JobsCompleteIncomplete,Raj C R,No,Redshift,CSA A27 - Appointments Only
NEO – Field (test),Field_Metrics_WBA_Test_JobsCompleteIncomplete,Raj C R,Yes,Netezza,WBA Appointment Performance Enhanced
NEO – Field (test),FLD A11Sm - Orders and Incidents - UAT,David Griffiths,No,Redshift,FLD A11Sm - Orders and Incidents - UAT
NEO – Field (test),FLD xx - TR Tableau Metrics,Jose Alex,No,Postgres,Tableau Events
NEO – Field (test),FLD01 - On The Day SDP Performance Dashboard,Jatinder Sharma,No,Postgres,Tableau Events
NEO – Field (test),FLD04xx - OTD Misses Deep Dive Dashboard,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLD06 - Held Remediation Dashboard,Sameer Ahmed,No,Postgres,Tableau Events
NEO – Field (test),FLD06 - Held Remediation Dashboard Test,Gav Pereira,No,Postgres,Tableau Events
NEO – Field (test),FLD06xx - Red Order In/Out Dashboard,Sayantan Sen,No,Postgres,Tableau Events
NEO – Field (test),FLD11 - M1 - Appointments Offered Within SLA_AllAppts,Chandra Puli,No,Postgres,Tableau Events
NEO – Field (test),FLD11 - M1 - Appointments Offered Within SLA_AllAppts,Chandra Puli,No,Redshift,FLD A10mb - Appointment
NEO – Field (test),FLD18 - NEO Daily Field Scorecard,Tajammul Mohammed,No,Hyper,PRD_OTD_View
NEO – Field (test),FLD18 - NEO Daily Field Scorecard,Tajammul Mohammed,No,Postgres,Tableau Events
NEO – Field (test),FLD18 - NEO Daily Field Scorecard,Tajammul Mohammed,No,Redshift,CSA A12H - Inc - Apt - Wor - Wrq - Loc- Pri
NEO – Field (test),FLD18 - NEO Daily Field Scorecard,Tajammul Mohammed,No,Redshift,CSA A14H - Inc - Wor
NEO – Field (test),FLD18 - NEO Daily Field Scorecard,Tajammul Mohammed,No,Redshift,CSA A21b - MTM 3.0 Met Miss Summary
NEO – Field (test),FLD18 - NEO Daily Field Scorecard,Tajammul Mohammed,No,Redshift,CSA A27 - Appointments Only
NEO – Field (test),FLD18 - NEO Daily Field Scorecard,Tajammul Mohammed,Yes,Netezza,GENESYS_TRIAGE
NEO – Field (test),FLD18 - NEO Field Scorecard Metric Summary,Tajammul Mohammed,No,Postgres,Tableau Events
NEO – Field (test),FLD18 - NEO Field Scorecard Metric Summary,Tajammul Mohammed,Yes,Netezza,WBA Appointment Performance Reporting (Conformed View) Extract
NEO – Field (test),FLD23 - HFC SC21 Prescope Terminal Report - Cloud Source,Keaboka Molebatsi,No,Postgres,Tableau Events
NEO – Field (test),FLD30 - NEO Field Scorecard Targets,Gav Pereira,No,Postgres,Tableau Events
NEO – Field (test),FLD30 - Operations - Field Scorecard,Gav Pereira,No,Postgres,Tableau Events
NEO – Field (test),FLD30 - Operations Field Scorecard  - Test Run,Rahul Singh,No,Postgres,Tableau Events
NEO – Field (test),FLD36 - Network At Risk Performance Dashboards(HFC),Laura Drury,Yes,Netezza,NEO Network at Risk
NEO – Field (test),FLD42 - M1b - Appointments Offered Within SLA (Fix) Dashboard,Jatinder Sharma,No,Hyper,Field Target Extract
NEO – Field (test),FLD42 - M1b - Appointments Offered Within SLA (Fix) Dashboard,Jatinder Sharma,No,Postgres,Tableau Events
NEO – Field (test),FLD42 - M1b - Appointments Offered Within SLA (Fix) Dashboard,Jatinder Sharma,No,Redshift,CSA A27 - Appointments Only
NEO – Field (test),FLD44 - Connects With a Fault Raised in First 14 & 28 Days,Chandra Puli,No,Postgres,Tableau Events
NEO – Field (test),FLD50 - Field Headline Report,Gav Pereira,No,Postgres,Tableau Events
NEO – Field (test),FLD51 - FTTC DPU/NCD and HFC Modem Swap,Sayantan Sen,No,Hyper,FLDxx - Inventory Utilization Reduction
NEO – Field (test),FLD51 - FTTC DPU/NCD and HFC Modem Swap,Sayantan Sen,No,Postgres,Tableau Events
NEO – Field (test),FLD51xx - FTTC DPU/NCD and HFC Modem Swap,Sayantan Sen,No,Postgres,Tableau Events
NEO – Field (test),FLD54 - WO Acknowledge & Terminal Status,Chandra Puli,No,Postgres,Tableau Events
NEO – Field (test),FLD68 - Orders and Incidents held due to COVID-19,Sameer Ahmed,No,Postgres,Tableau Events
NEO – Field (test),FLD69 - Open INC Map (real time),Sayantan Sen,No,Postgres,Tableau Events
NEO – Field (test),FLD69 - Open INC Map (real time),Sayantan Sen,No,Redshift,CSA A05 - Aged Incidents
NEO – Field (test),FLD69 - Open INC Map (real time)_No Extract,Sayantan Sen,No,Postgres,Tableau Events
NEO – Field (test),FLD69 - Open INC Map (real time)_No Extract,Sayantan Sen,No,Redshift,CSA A05 - Aged Incidents
NEO – Field (test),FLDxx - % Missed Appointment Dashboard (WBA)_Updated,Sayantan Sen,Yes,Netezza,WBA Appointment Performance Reporting (Conformed View) Extract
NEO – Field (test),"FLDxx - AIM,CFT Audit Forecast",Pradeepa Venkatswamy,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - Appointments (M1 & M1b),Keaboka Molebatsi,No,Redshift,CSA A27 - Appointments Only
NEO – Field (test),"FLDxx - Capacity Utilization Dashboard (PA,CA,AHA)",Pradeepa Venkatswamy,No,Postgres,Tableau Events
NEO – Field (test),"FLDxx - Capacity Utilization Dashboard (PA,CA,AHA)",Pradeepa Venkatswamy,No,Redshift,FLD A30 - Capacity
NEO – Field (test),FLDxx - Connects With a Fault Raised in First 14 & 28 Days,Pradeepa Venkatswamy,No,Hyper,Faults Within 10 Days_DDE06_SRWO
NEO – Field (test),FLDxx - Connects With a Fault Raised in First 14 & 28 Days,Pradeepa Venkatswamy,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - COVID-19 Dashbaord,Sayantan Sen,No,Redshift,FLD A13 - Work Order Log Notes
NEO – Field (test),FLDxx - CSA Daily Comments,Sayantan Sen,No,Redshift,CSA A27 - Appointments Only
NEO – Field (test),FLDXX - CSA51 - Aged Incidents -F219a Updated,Tajammul Mohammed,No,Redshift,CSA A05 - Aged Incidents
NEO – Field (test),FLDxx - Executive Insights,Tajammul Mohammed,Yes,Excel-direct,Field Report Links
NEO – Field (test),FLDxx - Executive Insights,Tajammul Mohammed,Yes,Federated,Field Portal Scorecard V2.0
NEO – Field (test),FLDxx - Field - Appointments and Missed Appointments,Tajammul Mohammed,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - Field - Appointments and Missed Appointments,Tajammul Mohammed,Yes,Netezza,WBA Appointment Performance Enhanced
NEO – Field (test),FLDxx - Field Resource Plan - FTE Actual,Pradeepa Venkatswamy,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - Field Technician Performance,Rahul Singh,No,Postgres,Tableau Events
NEO – Field (test),FLDXX - FSC_LLD,Gav Pereira,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - FSD Realtime Workforce Calendar,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - FTTC DPU Swap League Ladder,Sayantan Sen,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - FTTC DPU/NCD and HFC Modem Swap,Sayantan Sen,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - FW and LTSS Physical Orders Completed,Sayantan Sen,No,Postgres,Tableau Events
NEO – Field (test),FLDXX - HFC and FTTC Daily Capacity Report,Chandra Puli,No,Redshift,FLD A30 - Capacity
NEO – Field (test),FLDXX - HFC Connect Daily Report,Chandra Puli,No,Hyper,FLD500_Anaplan_FRP_v7.2 Extract (2)
NEO – Field (test),FLDXX - HFC Connect Daily Report,Chandra Puli,No,Postgres,Tableau Events
NEO – Field (test),FLDXX - HFC Connect Daily Report,Chandra Puli,No,Redshift,FLD A30 - Capacity
NEO – Field (test),FLDxx - HFC Daily 11,Morty Jalali,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - Incorrect assigned WOC report with Site Permit Required,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - Open INC (excl NI Flag or RM) Map,Sayantan Sen,No,Redshift,CSA A05 - Aged Incidents
NEO – Field (test),FLDxx - Quality Management Plan,Pradeepa Venkatswamy,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - Real Time Network Incidents and Impact to Service Incident,Sayantan Sen,No,Redshift,CSA A05A - Aged and NI with Worklog Notes
NEO – Field (test),FLDxx - Root Cause Analysis of PRD Change (Connect),Sayantan Sen,No,Redshift,CC A40 - Order Comments
NEO – Field (test),FLDXX - Tech-onsite Details,Jose Alex,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - Test - FLD18 - NEO Field Scorecard,Tajammul Mohammed,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - Test - FLD18 - NEO Field Scorecard,Tajammul Mohammed,No,Redshift,CSA A12H - Inc - Apt - Wor - Wrq - Loc- Pri
NEO – Field (test),FLDxx - Test - FLD18 - NEO Field Scorecard,Tajammul Mohammed,No,Redshift,CSA A14H - Inc - Wor
NEO – Field (test),FLDxx - Test - FLD18 - NEO Field Scorecard,Tajammul Mohammed,No,Redshift,CSA A21b - MTM 3.0 Met Miss Summary
NEO – Field (test),FLDxx - Test - FLD18 - NEO Field Scorecard,Tajammul Mohammed,No,Redshift,CSA A27 - Appointments Only
NEO – Field (test),FLDxx - Test - FLD18 - NEO Field Scorecard,Tajammul Mohammed,Yes,Netezza,GENESYS_TRIAGE
NEO – Field (test),FLDxx - Test - FLD18 - NEO Field Scorecard,Tajammul Mohammed,Yes,Netezza,WBA Appointment Performance Reporting (Conformed View) Extract
NEO – Field (test),FLDxx - WO Appt Created On The Day Dashboard,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - WO Appt Created On The Day Dashboard Beta,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - WO Full Address,Pradeepa Venkatswamy,No,Postgres,Tableau Events
NEO – Field (test),FLDxx - WO to Agreed Capacity Utilization,Pradeepa Venkatswamy,No,Hyper,FLD502_Agreed Capacity_vs_Workorder_DS
NEO – Field (test),FLDxx - WO to Agreed Capacity Utilization,Pradeepa Venkatswamy,No,Hyper,FLD502a_AgreedCapacity_WorkOrder_Detail_DS
NEO – Field (test),FLDxx - WO to Agreed Capacity Utilization,Pradeepa Venkatswamy,No,Postgres,Tableau Events
NEO – Field (test),FLDxx01 - On The Day SDP Performance Dashboard,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLDxx04 - OTD Misses Deep Dive Dashboard,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLDxx54 - WO Acknowledge & Terminal Status,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLDxx57 - Customer Complaints - Install Quality Dashboard,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLDxx57 - Monthly Customer Complaints - Install Quality Dashboard,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLDXX_01 - On The Day SDP Performance Dashboard,Chandra Puli,No,Postgres,Tableau Events
NEO – Field (test),FLDXX_01 - On The Day SDP Performance Dashboard TEST,Jatinder Sharma,No,Postgres,Tableau Events
NEO – Field (test),FLDxx_04 - 12 WK OTD Misses,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLDxx_04 - OTD Misses Deep Dive Dashboard Monthly,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLDXX_04 - OTD Misses Deep Dive Dashboard Test,Jatinder Sharma,No,Postgres,Tableau Events
NEO – Field (test),FLDXX_11 - M1 - Appointments Offered Within SLA,Chandra Puli,No,Hyper,LTSS M1 Data Source
NEO – Field (test),FLDXX_11 - M1 - Appointments Offered Within SLA,Chandra Puli,No,Postgres,Tableau Events
NEO – Field (test),FLDXX_11 - M1 - Appointments Offered Within SLA,Chandra Puli,No,Redshift,FLD A10mb - Appointment
NEO – Field (test),FLDxx_24 - Tech On-Site Within Appt Time Slot,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLDXX_30 - NEO Field Scorecard,Chandra Puli,No,Postgres,Tableau Events
NEO – Field (test),FLDXX_30 - NEO Field Scorecard,Chandra Puli,Yes,Federated,FLDXX_30 - NEO Field Scorecard DS
NEO – Field (test),FLDXX_42 - M1b - Appointments Offered Within SLA (Fix) Dashboard,Chandra Puli,No,Hyper,Field Target Extract
NEO – Field (test),FLDXX_42 - M1b - Appointments Offered Within SLA (Fix) Dashboard,Chandra Puli,No,Postgres,Tableau Events
NEO – Field (test),FLDXX_42 - M1b - Appointments Offered Within SLA (Fix) Dashboard,Chandra Puli,No,Redshift,CSA A27 - Appointments Only
NEO – Field (test),FLDXX_42 - M1b - Appointments Offered Within SLA (Fix) Dashboard,Chandra Puli,No,Redshift,FLD A10ra - Ord - Inc - Apt - Loc -Pri
NEO – Field (test),FLDxx_44&56 - Connects With a Fault Raised in First 14 & 28 Days,Doris Rhodes,No,Hyper,Faults Within 10 Days_DDE06_SRWO
NEO – Field (test),FLDxx_44&56 - Connects With a Fault Raised in First 14 & 28 Days,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLDXX_46 - Tech On Site Dashboard,Jatinder Sharma,No,Postgres,Tableau Events
NEO – Field (test),FLDXX_54 - WO Acknowledge & Terminal Status,Chandra Puli,No,Postgres,Tableau Events
NEO – Field (test),FLDXX_54 - WO Acknowledge & Terminal Status,Chandra Puli,No,Redshift,FLD A10ra - Ord - Inc - Apt - Loc -Pri
NEO – Field (test),FLDxx_54- Allocate - Terminal&AckStatus,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),FLDXX_69 - Orders and Incidents held due to COVID-19,Chandra Puli,No,Postgres,Tableau Events
NEO – Field (test),FLDXX_100 - Report Insights Summary,Chandra Puli,No,Postgres,Tableau Events
NEO – Field (test),FLDXX_100 - Report Insights Summary,Chandra Puli,Yes,Postgres,Tableau HTTP Requests - Incremental Extract
NEO – Field (test),FLDxx_Partner Strategy & Performance Complaints Draft,Sayantan Sen,No,Postgres,Tableau Events
NEO – Field (test),FLDxx-Coordinated Appointments,Pradeepa Venkatswamy,No,Postgres,Tableau Events
NEO – Field (test),FLDxx-In-Home Wiring-New,Pradeepa Venkatswamy,No,Hyper,FLD600_IPWO_DS
NEO – Field (test),FLDxxx_04 - Pack OTD Misses Deep Dive Dashboard Monthly,Doris Rhodes,No,Postgres,Tableau Events
NEO – Field (test),Forecast to Wo Scheduled (All measures),Pradeepa Venkatswamy,No,Hyper,FLD500_Anaplan_FRP_DS
NEO – Field (test),Forecast to Wo Scheduled (All measures),Pradeepa Venkatswamy,No,Postgres,Tableau Events
NEO – Field (test),FSC - F102 and F106,Patrick Taylor,No,Redshift,CSA A27 - Appointments Only
NEO – Field (test),FSC_Connect_LLD_Weekly,Rahul Singh,Yes,Netezza,WBA Appointment Performance Enhanced
NEO – Field (test),HFC Governance FS&D Dashboards,Jonathan Maybloom,No,Hyper,Open NAR and TOW Status
NEO – Field (test),HFC SC21 Prescope Terminal Report,Keaboka Molebatsi,No,Hyper,Prescoping Terminal Reporting
NEO – Field (test),Insights_Graphs_Automated_V1,Sayantan Sen,Yes,Excel-direct,Score Card
NEO – Field (test),iPhone OTD,Pritpal Walia,No,Postgres,Tableau Events
NEO – Field (test),MetricSummary-Crosstab,Gav Pereira,No,Postgres,Tableau Events
NEO – Field (test),New FLD51 - Swap Dashboard,Sayantan Sen,No,Hyper,FLDxx - Inventory Utilization Reduction
NEO – Field (test),OTD Proactive Reschedules - BTD NRA,Tim Dang,No,Hyper,PAI_OTD_SDP_Performance
NEO – Field (test),OTD Proactive Reschedules - BTD NRA,Tim Dang,No,Postgres,Tableau Events
NEO – Field (test),Pritpal - Capacity Committed Agreed,Pritpal Walia,No,Postgres,Tableau Events
NEO – Field (test),SLT Headline Graphics,Keaboka Molebatsi,No,Redshift,CSA A27 - Appointments Only
NEO – Field (test),SLT Headline Graphics,Keaboka Molebatsi,Yes,Excel-direct,Score Card
NEO – Field (test),SLT Headline Graphics,Keaboka Molebatsi,Yes,Netezza,WBA Appointment Performance Enhanced
NEO – Field (test),Taj Test - FLD40 – Precall Performance Report,Tajammul Mohammed,No,Postgres,Tableau Events
NEO – Field (test),Taj Test - FLD40 – Precall Performance Report,Tajammul Mohammed,Yes,Redshift,FLD A41m - Precall Extract
NEO – Field (test),Test - FLDXX - Weekly Headlines FY2020,Keaboka Molebatsi,No,Redshift,CSA A27 - Appointments Only
NEO – Field (test),Test - FLDXX - Weekly Headlines FY2020,Keaboka Molebatsi,Yes,Netezza,WBA Appointment Performance Reporting (Conformed View) Extract
NEO – Field (test),testfld18,David Griffiths,No,Hyper,PRD_OTD_View
NEO – Field (test),testfld18,David Griffiths,No,Postgres,Tableau Events
NEO – Field (test),testfld18,David Griffiths,No,Redshift,CSA A12H - Inc - Apt - Wor - Wrq - Loc- Pri
NEO – Field (test),testfld18,David Griffiths,No,Redshift,CSA A14H - Inc - Wor
NEO – Field (test),testfld18,David Griffiths,No,Redshift,CSA A21b - MTM 3.0 Met Miss Summary
NEO – Field (test),testfld18,David Griffiths,No,Redshift,CSA A27 - Appointments Only
NEO – Field (test),testfld18,David Griffiths,Yes,Netezza,GENESYS_TRIAGE
NEO – Field (test),WO Scheduled (BTD TDS) - NRA,Tim Dang,No,Dataengine,PAI_WO_SCHEDULED
NEO - Customer Connections,BOM - Weekly Report,Divya Srivastava,No,Hyper,BTDDES01 - Order and Fallout Received - Detailed
NEO - Customer Connections,BOM - Weekly Report,Divya Srivastava,No,Hyper,TCS Performance Metrics Data Source_1_2
NEO - Customer Connections,BOM - Weekly Report,Divya Srivastava,No,Hyper,TCS Performance Metrics Data Source_5
NEO - Customer Connections,BOM - Weekly Report,Divya Srivastava,No,Hyper,TCS Performance Metrics Data Source_6_7
NEO - Customer Connections,BOM - Weekly Report,Divya Srivastava,No,Hyper,TCS Performance Metrics Data Source_9
NEO - Customer Connections,BOM - Weekly Report,Divya Srivastava,No,Netezza,DCS - Work Order Creation
NEO - Customer Connections,CC000 - Real Time Net Premise Activations,Tim Dang,No,Postgres,Tableau Events
NEO - Customer Connections,CC003 - FTTC Inflight Orders,Cecilia Li,No,Postgres,Tableau Events
NEO - Customer Connections,CC003 - FTTC Inflight Orders,Cecilia Li,Yes,Netezza,LOMS Data
NEO - Customer Connections,CC004 - CC RealTime - Receive & Assign - Design Customer Services,Tim Dang,No,Postgres,Tableau Events
NEO - Customer Connections,CC005 - Aged Reporting,Carl Kruckow,No,Postgres,Tableau Events
NEO - Customer Connections,CC006 - PNI vs HFL SC Mismatch and Shortfalls,Israel Hoffmann,Yes,Netezza,MOR - SRI vs PNI FTTX Mismatch
NEO - Customer Connections,CC008 - Execute - Call-backs Detailed,SVC_HFC_NETEZZA_PRD,No,Netezza,CAF.Genesys Interactions with Work Requests & Roster
NEO - Customer Connections,CC010 - DEV - Triage Call Reporting,Cecilia Li,No,Postgres,Tableau Events
NEO - Customer Connections,CC010 - DEV - Triage Call Reporting,Cecilia Li,Yes,Netezza,GENESYS_TRIAGE_ETOE
NEO - Customer Connections,CC010 - DEV - Triage Call Reporting,Cecilia Li,Yes,Netezza,GENESYS_TRIAGE_HFC_TEMP
NEO - Customer Connections,CC011 - Genesys Performance Reports,Israel Hoffmann,Yes,Netezza,Genesys Activations App Interactions
NEO - Customer Connections,CC011 - Genesys Performance Reports,Israel Hoffmann,Yes,Netezza,Genesys Agent State Detail
NEO - Customer Connections,CC013 - Held Remediation,Tim Scerri,No,Hyper,PRD_OTD_View
NEO - Customer Connections,CC013 - Held Remediation,Tim Scerri,No,Hyper,PRD_OTD_View_Weekly_History
NEO - Customer Connections,CC013 - Held Remediation,Tim Scerri,No,Netezza,Cycle_Times
NEO - Customer Connections,CC013 - Held Remediation,Tim Scerri,No,Postgres,Tableau Events
NEO - Customer Connections,CC013 - Held Remediation,Tim Scerri,Yes,Netezza,PRD Health 
NEO - Customer Connections,CC013 - Held Remediation,Tim Scerri,Yes,Netezza,RG_HISTORY (NBN_DDE_14.RG_HISTORY) (BIA01LB)
NEO - Customer Connections,CC017 - Triage - Callbacks Detailed,SVC_HFC_NETEZZA_PRD,No,Netezza,CAF.Genesys Interactions with Work Requests & Roster
NEO - Customer Connections,CC018 - Eliminating aged orders and recovering customer experience,Tim Dang,No,Netezza,NSO 01 - Order to Activation
NEO - Customer Connections,CC018 - Eliminating aged orders and recovering customer experience,Tim Dang,No,Netezza,NSO 09 – Location Footprint List – Current
NEO - Customer Connections,CC018 - Eliminating aged orders and recovering customer experience,Tim Dang,No,Postgres,Tableau Events
NEO - Customer Connections,CC027 - Tech-on-Site (Truck Rolls) Datasource,Carl Kruckow,Yes,Netezza,NSO 02 - WWM Tech On Site - Detail
NEO - Customer Connections,CC028 - HFC Performance Dashboard - Relaunch,Daham Pilapitiya,No,Dataengine,HFC Relaunch AVC Data
NEO - Customer Connections,CC028 - HFC Performance Dashboard - Relaunch,Daham Pilapitiya,No,Dataengine,HFC Relaunch OTDA Data
NEO - Customer Connections,CC028 - HFC Performance Dashboard - Relaunch,Daham Pilapitiya,No,Dataengine,HFC Relaunch SC Changes
NEO - Customer Connections,CC028 - HFC Performance Dashboard - Relaunch,Daham Pilapitiya,No,Hyper,Aged
NEO - Customer Connections,CC028 - HFC Performance Dashboard - Relaunch,Daham Pilapitiya,No,Hyper,PRD_OTD_View
NEO - Customer Connections,CC028 - HFC Performance Dashboard - Relaunch,Daham Pilapitiya,Yes,Netezza,NEX  - Order and Activation Summary
NEO - Customer Connections,CC031 - Fallout vs Orders Received,Tim Dang,No,Netezza,BTDDES01 - % Fallout Orders vs Orders Received
NEO - Customer Connections,CC031 - Fallout vs Orders Received,Tim Dang,No,Netezza,BTDDES01 - % Fallout Orders vs Orders Received - Detailed
NEO - Customer Connections,CC035 - Business Connections - E&G Performance,Tim Scerri,No,Postgres,Tableau Events
NEO - Customer Connections,CC037 - Allocate - Acknowledged Before Appointment Day,Tim Scerri,Yes,Netezza,CAF KPI 15 Data Source
NEO - Customer Connections,CC038 - Line Level Details On The DayDashboard,Sayantan Sen,No,Hyper,PAI_OTD_SDP_Performance
NEO - Customer Connections,CC038 - Line Level Details On The DayDashboard,Sayantan Sen,No,Postgres,Tableau Events
NEO - Customer Connections,CC039 - Aged Orders - Pending Analysis,Tim Dang,No,Netezza,Manage RSP Prioritisation List
NEO - Customer Connections,CC039 - Aged Orders - Pending Analysis,Tim Dang,No,Postgres,Tableau Events
NEO - Customer Connections,CC040 - Allocate - Incoming Calls,Cecilia Li,No,Postgres,Tableau Events
NEO - Customer Connections,CC040 - Allocate - Incoming Calls,Cecilia Li,Yes,Netezza,Genesys Queue Detail
NEO - Customer Connections,CC043 - R&A - On The Day SDP Performance Dashboard,Divya Srivastava,No,Hyper,PAI_OTD_SDP_Performance
NEO - Customer Connections,CC046 - Orders at Salesforce Pivot LOC,SVC_HFC_NETEZZA_PRD,No,Hyper,PHP_Salesforcepivot
NEO - Customer Connections,CC048 - FW & Satellite Fallout WO Report,Carl Kruckow,No,Netezza,NSO 01 - Order to Activation Conformed
NEO - Customer Connections,CC049 - SkyMuster Health Check,Ashraful Islam,No,Netezza,NSO 01 - Order to Activation Conformed
NEO - Customer Connections,CC053 - FTTN - Pair varification issue,Ashish Kumar Bhangdia,No,Hyper,DataHub
NEO - Customer Connections,CC053 - FTTN - Pair varification issue,Ashish Kumar Bhangdia,No,Hyper,PRD_OTD_View
NEO - Customer Connections,CC054 - Manage Order Enquiries- MOET,Tim Scerri,No,Hyper,NEOCCPAI-Remedy-OSC-History
NEO - Customer Connections,CC054 - Manage Order Enquiries- MOET,Tim Scerri,No,Postgres,Tableau Events
NEO - Customer Connections,CC061 - Data - Driver_Passenger Orders list,Tim Dang,No,Netezza,CAF_Driving|Passenger datasource
NEO - Customer Connections,CC064 - Search Location Dashboard,Carl Kruckow,No,Netezza,NSO 02H - WWM Work Orders with History
NEO - Customer Connections,CC064 - Search Location Dashboard,Carl Kruckow,No,Postgres,Tableau Events
NEO - Customer Connections,CC065 - WO Related Details,Ashish Kumar Bhangdia,No,Netezza,NSO 01 - Order to Activation Conformed
NEO - Customer Connections,CC067 - Battery Setting Case with contacts and state,Tim Dang,No,Netezza,CRM Case Activity (LB)
NEO - Customer Connections,CC069 - Pre-Installs - KPI Metrics,Tim Dang,No,Dataengine,Pre-Install - Remedy Response Time
NEO - Customer Connections,CC069 - Pre-Installs - KPI Metrics,Tim Dang,No,Hyper,FSD05 - Pre-Install - 1st Connection SC3% - Data Extract
NEO - Customer Connections,CC069 - Pre-Installs - KPI Metrics,Tim Dang,No,Hyper,Pre-Install Order Completions After Demand Order Created
NEO - Customer Connections,CC069 - Pre-Installs - KPI Metrics,Tim Dang,No,Hyper,Pre-Install PCD History
NEO - Customer Connections,CC069 - Pre-Installs - KPI Metrics,Tim Dang,No,Hyper,Pre-Installs Stage One
NEO - Customer Connections,CC069 - Pre-Installs - KPI Metrics,Tim Dang,No,Netezza,CRM Case Activity (LB)
NEO - Customer Connections,CC069 - Pre-Installs - KPI Metrics,Tim Dang,No,Netezza,CRM Case and Site
NEO - Customer Connections,CC069 - Pre-Installs - KPI Metrics,Tim Dang,No,Netezza,NSO 02- WWM All Appointments and Work Orders
NEO - Customer Connections,CC069 - Pre-Installs - KPI Metrics,Tim Dang,No,Netezza,NSO 02H - WWM Work Orders with History
NEO - Customer Connections,CC069 - Pre-Installs - KPI Metrics,Tim Dang,No,Netezza,Remedy Helpdesk SLM Audit Log
NEO - Customer Connections,CC071 - Telstra all tech initial Appt_Conformed,Carl Kruckow,No,Netezza,NSO 01H - Order to Activation with History Conformed
NEO - Customer Connections,CC071 - Telstra all tech initial Appt_Conformed,Carl Kruckow,No,Postgres,Tableau Events
NEO - Customer Connections,CC074 - Order Snapshot - HFC Recovery Program,Tim Dang,No,Postgres,Tableau Events
NEO - Customer Connections,CC076 - OTD CM Performance,Ashish Kumar Bhangdia,No,Postgres,Tableau Events
NEO - Customer Connections,CC079 - FTTX-HFC Complaints Dashboard,Suhali Tandon,No,Hyper,CC- Complaints Data source
NEO - Customer Connections,CC080 - NEO Headlines – CC Only - Overall - Download Data,Carl Kruckow,No,Postgres,Tableau Events
